name,followers,follow,text,source,gender
乔乔奔奔6455604382,42,138,None, vivo智能手机, f
乔木木子李,116,164,那么早合适吗，18岁还是个孩子，能够承担一个家庭的责任吗？ 结婚这个问题，和年龄的关系不是很大，最重要的是，现在都不想结婚。, vivo智能手机, f
乔滨,159,89,这群害人精, iPhone客户端, f
乔瀚生,181,568,结婚率下降，还不是经济调控的结果，调年龄解决是哪根筋又拍脑门, iPhone客户端, m
乖乖阿离酱,12547,1561,男女共同产假，降低房价。保证生育率上升呢这位眼瞎专家联系看看眼科呢亲亲, iPhone客户端, m
乖啦丶摸摸头,136,267,:感觉有人提议生孩子高考加分的日子不远了……, 隐形贫困人口, m
乖巧橙子不乖只巧,638,150,九菜又不够割了，, 华为手机 畅享玩不停, f
乘月待晓_98098,92,173,能不能提点真有用。, 华为麦芒4, f
九九九瞳,143,298,下调我也8⃣结婚, HUAWEI P20, f
九六颖,32,256,这委员可以辞职了下次先想想清楚在建议，这种建议，仿佛脑子进了水, Android, m
九十九听可乐,1000,291,我建议你回家睡觉, 必须是一个逢考必過的人, f
九千七七七七七七,96,154,疯了吧，🙄, 傲娇霸王花iPhone 8（银色）, f
九头身日奈,12026,166,一天到晚屁事不搞就搞这些, , f
九尾鱼干干干,30,525,结婚率下降不考虑为什么不想结婚反而来诱使更多还没考虑好的人结婚？这么结了婚有什么用吗？不过恶性案件更多一点而已, 华为手机 畅享玩不停, f
九星大连,559,858,【18结婚赋予大学新的含义】☞【大一新生】刚生一个小孩【大二新生】生了2个小孩或者双胞胎龙凤胎【大三新生】刚入学生了三胞胎的遇到8年才生三胎的，差距有点大！【大四新生】生了4胞胎直接毕业，两次双胞胎还需要2年【学生会】学习一起生【奖学金】一胎奖学金10万，二胎奖学金25万，大四学姐喜提50万, OPPO R9, m
九星大连,559,858,生双胞胎保送985，生二胎保研这是在为砖家提供思路啊, OPPO R9, m
九星大连,559,858,:男女16岁结婚，结婚生小孩了免费保送父母上大学, OPPO R9, m
九星大连,559,858,谢谢小哥哥来赞，这么晚还没睡，一定是经常遇到好事。【大一新生】生了一个小孩的夫妻【大二新生】生了两个小孩【大三新生】生三个小孩【大四新生】2组双胞胎。毕业时候一个小女生过来找我说，我都在北大八年啦，为啥还是大一新生，她刚入学就是大三新生啦，我说人家三胞胎入学，你再来三胞胎也毕业啦, OPPO R9, m
九月什么的,337,976,我可去你的吧！18岁能为自己负责吗？, OPPO R9, f
九月傻乎乎,384,821,...我觉得可以适当上调一下...男女都24多好～18岁刚高中毕业就结婚？？？想啥呢，要是有娃了大学还能好好上吗，就是没娃18岁还都是孩子知道什么是婚姻什么是责任吗，当过家家呢，瞎搞。, Weibo.intl, f
九月-污法污天沉迷游戏无法自拔,3172,866,有病？:？别发疯, iPhone客户端, f
九木-_-,26,168,【实在忍不住要骂脏话了】……, HUAWEI P10, f
九格猫,20,141,降低房价 调整物价 调整师资结构 这才是改变人口数量的王道, iPhone客户端, f
九歌舞韶神邈邈,1709,839,？？？怎么的，十八岁是要拐卖吗？, 剑子仙迹的Android, m
九溪暮归鹤,1865,1667, :连正常的两性教育和性知识都不普及，18岁啥也不懂就结婚？未成年啥性有关的都保护一下屏蔽一下，一成年了就赶紧让你生孩子？这是哪出的正调节？到时候离婚率上升是不是给离婚加个巨额离婚款降低离婚率呗，ngnb, Weibo.intl, f
九爷曼走,197,569,！！我不准我不准我不准！！！不如上调, HUAWEI nova 2s, f
九粒葡萄籽,185,98,吃饱了没事干了？？, Android, m
也可以假装不知道,136,448,结婚率高一点  离婚率高一点 除了浮躁还有失望, vivo智能手机, f
也许可以左右,372,596,且没结婚对象:我们不结婚只是因为穷, 小米手机5, f
_也许有门窗_但是很难找,664,168,让我们28还没结婚的怎么办。, iPhone客户端, f
习惯性微笑609,28,208,None, 柔光自拍vivo X7, m
书包里的小红花,228,1340,？有病, 小米8周年旗舰手机, f
书客的马甲,853,1017,迷茫下崽儿好糊弄, Weibo.intl, m
书店里的单丛茶,48,112,委员：等他们年纪小赶紧让他们结婚生孩子，年纪大了就糊弄不了, iPhone 6s, f
书慧吖吖,94,492,我不建议，我没有做好结婚的准备，谈恋爱都战战兢兢，结婚了不得鸡飞狗跳。我享受有人陪伴的感觉，又不想被人束缚，一想到那么多的家庭琐事，邻里关系我就发怵，当代年轻人日常不想结婚。我觉得恋爱关系挺好，双方都留有余地。, 魅蓝 E2, f
书昕_missing,113,351,:爱咋咋地，就这个房价这个物价，改成5岁也没啥用，很多人还是不想结婚的。, , f
书签_故事,49,34,好像调了就会早结一样的，治标不治本, 微博搜索, f
书过分刚回到家嗖嗖,80,986,？？？是想让那些愚昧家庭的父母更有理由让女孩子早早辍学结婚吗？, 小米手机, f
买买碟,80,226,None, 一只咕咕咕, f
买肥皂的欧吉桑,60,560,委员只想着割韭菜吗 :感觉有人提议生孩子高考加分的日子不远了……, 坚果手机 Pro, m
乱世人间,100,1070,None, , f
乱了蓝天蓝了海-,78,208,18岁本身就是孩子，孩子何以养孩子, Samsung Galaxy S8+, m
争做快乐源泉幼儿园园长,808,353,害，别闹，一般18岁结婚的都不参加高考了，以后还搞教育吗？全都去上赶子生孩子了呗, 有人鱼线的iPhone X, f
二七的小太阳,5885,132,下调了不想结婚的还是不想结婚，没多大意义, 荣耀9 美得有声有色, f
二不尚书,47,63,None, 前置双摄vivo X9, f
二乘二等于八,66,670,疯了，18就可以结婚以后离婚率蹭蹭上涨, iPhone客户端, f
二二壹-,2103,401,None, iPhone客户端, f
二分之一黑色,29,20,下调结婚年龄能提升结婚登记人数？, vivo Z3性能实力派, f
二十几岁的某天0329,112,59,简直搞笑, HUAWEI Mate 20, f
二十四和五,23,8,下调有什么用，国家得发男朋友啊, 前后2000万 OPPO R11, f
二十摄氏度度度,158,329,说简单点，省的让那些孩子去打胎了，生出来然后过两天离婚反正也是提高生育率, iPhone客户端, f
-二喜子,325,400,只是让22岁结婚的人18结婚，更早承受生活压力，30岁结婚的人还是会30岁结婚，这个建议确实没啥用, iPhone客户端, f
二宝名叫小狮子,138,396,感觉有点搞笑，现在电视剧高中早恋的都不让有结果，证明不宣扬这些事，但是法律结婚年龄却直接降到18了, HUAWEI nova手机, f
二宫柚柚子,358,556,你下调到零岁结婚率也不会涨的谢谢怎么的，十八岁是要拐卖吗？, 华为P9手机摄影再突破, f
二次元美少女星,273,176,十八岁结婚，要有感情基础，至少十六七岁高中就得谈恋爱(高考什么的都是浮云，数据重要)，然后孩要还是不要？学上还是不上？经济问题怎么解决？难不成一家人要去吸收天地之精华，日月之灵气？, 够快才畅快vivo X6S, f
二水_ershui,227,183,18岁高三你能干啥？？一边疯狂强调不能早恋 一边又让18岁结婚？？, iPhone客户端, f
二点五次元空巢老咸鱼,21,209,呵, iPhone客户端, f
二特也脚,462,1401,制定不制定有什么关系 你规定了晚婚晚育  一样有十六七结婚生子的 你建议下调结婚年龄时 一样有晚婚晚育的, 小米8青春版 潮流旗舰, m
二瑶是橙子味的啊,117,97,以后大学都有附属幼儿园了？, vivo X27, f
二级建造师学习记录专用微博,5,42,如果这条通过并立法，那么会有多少高中毕业甚至初中毕业就开始张罗着结婚的家庭存在，偏偏这些家庭都有几个共同的特点：穷且低智。果然韭菜只求跑量啊, iPhone客户端, m
二维羊,237,288,我缓缓打出 ‎زز¿؟¿ز?؟？ذذ؟？?¿؟زز¿؟¿ز？ذذ؟？?¿؟زز¿؟¿ز?؟？ذذ؟？?¿؟زز¿؟¿ز?؟？ذذ؟？?¿؟زز¿؟¿ز?؟？, 火锅十级爱好者, m
二花发上簪,124,1126,:感觉有人提议生孩子高考加分的日子不远了……, 二花🌸的Android, f
于于于于连,76,118,说得好像现在全国人民都一达到法定婚龄就结婚一样评论真是too young, 小米6 拍人更美, m
于大大想吃肉,210,176,住房压力，生育成本, 华为手机 畅享玩不停, m
于娜娜呦,304,257,在这个晚婚的时代，不如调整房价🙋🙋, Android, f
于寰宇撷星,171,770,该颁布的不颁布该整改的不整改 每天天搞这些有的没的有意思吗, iPhone客户端, f
于琪,22617,2440,热搜了, iPhone客户端, f
于谦的父亲杨老爷子Yips,838,678,:感觉有人提议生孩子高考加分的日子不远了……, 没钱买iPhone XS Max, f
于雅致的微博,192,589,:生育率低是养孩子和教育成本增高导致的 和结婚年龄有个屁的关系 我真想问问专家你家孩子18结婚你觉得行吗？你儿子大学毕业你孙子都上幼儿园了 你儿子工作了你孙子都上小学了 可是你儿子的学区房还没到位呢, HUAWEI Mate 10 Pro, f
云X李-icon,126,278,None, iPhone客户端, m
云上看次方,131,246,我可去你妈的吧！, iPhone客户端, m
云云想吃锅包肉,73,432,就这不调都找不到，在调低，辈分都乱了, 前置双摄vivo X9sPlus, f
云养居家长,379,419,:感觉有人提议生孩子高考加分的日子不远了……, 还能用的iPad 6, f
云养黑豆包,151,198,女孩太少，迫不及待地要掐嫩芽芽了。: 18之前不准恋爱，一到18立马结婚？去你的吧, 微博 weibo.com, f
云养黑豆包,151,198,游戏分级时18R的还不让色情呢？现在18岁要人结婚？？？？, 微博 weibo.com, f
云南省人民检察院,184092,2127,【民法典婚姻家庭编草案：将法定结婚年龄调整为男18岁、女18岁】, 微博搜索, m
云夏朵,114,296,None, OPPO R9 Plus, m
云夏朵,114,296,:我们不结婚只是因为穷, OPPO R9 Plus, m
云夏朵,114,296,:男女16岁结婚，结婚生小孩了免费保送父母上大学, OPPO R9 Plus, m
云娘不瘦10斤不改名,4244,1561,18之前不准恋爱，一到18立马结婚？去你的吧, 佛剑分说的Android, f
云宝今天给猫铲屎了吗,121,176,想结婚的没有证都办完喜酒了 不想结婚的调低也没用呀 18岁高中刚毕业能负得起什么责任啊？？ 两个人一起啃老吗 结婚了就是一个新家庭了又不是谈恋爱 不想看到十八九岁的辣妈啊, iPhone客户端, f
云想衣裳花想容L,167,262,我缓缓打出一个？。嗯？？？？？扯什么犊子, iPhone客户端, f
云暖今云,49,139,先提高质量再说数量吧。, 荣耀10 AI变色更潮美, f
云树遥隔-,43,109,呸, 荣耀8X, f
云烟成雨16249,1,27,None, Redmi K20 Pro 真旗舰, m
云舒云卷_rmx,407,492,那我是不是现在就可以嫁给王俊凯了, OPPO超视野全面屏R15, f
云萝的北北,23,162,转：生育率低是养孩子和教育成本增高导致的 和结婚年龄有个屁的关系 我真想问问专家你家孩子18结婚你觉得行吗？你儿子大学毕业你孙子都上幼儿园了 你儿子工作了你孙子都上小学了 可是你儿子的学区房还没到位呢, HUAWEI Mate 10 Pro, f
亓辰露,29,199,None, HUAWEI nova 3, f
五五不是sd,147,574,不可以早恋可以结婚。？喔。？反正我还是一个人快活: 高三领证大一离婚？, iPhone 6s, f
五五有尾巴-5NE,131,206,我可滚你妈了个逼吧, 火锅十级爱好者, f
五千废话特别多,9,53,降了就觉得那离婚率也是蹭蹭的升:不能降   现在人到了二十几岁都还没活明白   18岁的时候更是一个小孩   不仅事业没成熟   思想也很不成熟   完全没有开始一个新家庭的能力   未来后悔的机率也非常高, 小米手机, f
五号床的外卖,16,172,gun, OPPO R9 Plus, f
五年的咸鱼,136,142,令人迷惑, 红米Note7 4800万相机, f
五月三明治_,49,229,我寻思着国家委员老一辈的人太多了，老了思想跟不上了，你当老母猪的生啊？母亲年龄那么小能养活自己了吗？母亲能管教小孩了？你这孩子生出来没有质量？！要咋样？做苦力活？做made in China？退休了就回家的回家，该玩的玩去，瞎掺合什么提议？, iPhone客户端, f
五月周天,146,81,None, iPhone客户端, f
五月周天,146,81,:先把刑事责任年龄降低吧, iPhone客户端, f
五月没有蒜苗,90,307,也不动动脑子想想为什么结婚生育率低, 荣耀9 美得有声有色, m
五月没有蒜苗,90,307,:先把刑事责任年龄降低吧, 荣耀9 美得有声有色, m
--五氧化二磷---四氧化三铁--,390,1430,国家为了鼓励当代情侣积极努力创造人类的问题真是操碎了心啊hahahaha, 一条单身狗, f
五点一颗,123,131,为了提高生育率真的是疯球了, 荣耀V10 我AI的快, f
五聚体,19,242,坏种，只考虑政绩不考虑人，以后结易离难，问题只会更多, Weibo.intl, f
五花肉居女士,147,248,和十八岁少女竞争。刚不过呀 刚不过, iPhone客户端, f
五选一的圆宝,455,296,有毒啊18岁哪里懂什么 这样搞以后离婚率会更高, , m
井井的幸福VV,194,405,神经病吧结婚了，你押着人生吗, HUAWEI nova 3i, f
井底观星的阿西,86,201,先把房价调低一点吧！, 朱夫人甜西Android, f
井田老豆,479,439,？不让早恋但是让18岁结婚？不违和吗, , f
亚亚some,87,145,感觉就算调整 不愿意结婚的人就不结婚 这只是和提倡而已  并不是非要你18岁结婚, 荣耀7C 人脸识别双摄, f
交电费妈妈,84,84,h, iPhone客户端, f
交警蜀黍拉野屎,8027,507,田园女权很无知 没办法:说穿了是割女性韭菜！, iPhone客户端, f
亦忆言_白羽何归,107,996,我真的怀疑每年提这些提案的委员都是想火想出名想引网友热度（骂名）, iPhone客户端, f
亦风HJ,81,94,学学我们的台湾省, 红米Redmi, f
亨亨铁血女友,216,289,说真的 先落实普及性教育吧, , f
亭中有筠,311,604,None, 前后2000万 OPPO R11, f
亲你小胖脸,181,114,下调下调下调个屁 十八就结婚有毛病啊大学可能都没上呢 就生孩子, 魅蓝 E, f
亲涐只愛沵,16,30,可以结婚了???, vivo智能手机, f
_亲爱的L,79,266,:专家女儿先结婚吧, iPhone客户端, m
亲爱的二木,270,443,生育率低是结婚年龄问题吗？, HUAWEI nova手机, f
亲爱的小星星888888,154,181,呵呵, HUAWEI P10, f
人丑就要多健身啊,63,85, :连正常的两性教育和性知识都不普及，18岁啥也不懂就结婚？未成年啥性有关的都保护一下屏蔽一下，一成年了就赶紧让你生孩子？这是哪出的正调节？到时候离婚率上升是不是给离婚加个巨额离婚款降低离婚率呗，ngnb, Weibo.intl, m
人到中年有家有口,51,37,什么狗屁东西, OPPO R9s, f
人无觅处心可寻,1619,362,？？？要不也分配分配男朋友？, iPhone客户端, f
人渣配鸡如胶娰漆,264,879,有用吗？, iPhone客户端, m
人生如茶-66,163,367,None, vivo X23全息幻彩, f
人生这么长等你十年又何妨,11967,285,刚刚高中毕业的人，你就让人家去结婚，到头来还不是加重父母的负担，我真的是不知道提出这个人的脑子是怎么回事，怎么想的。自己都养不起自己，凭什么负担一个家？, 爱Low C的iPhone X, m
人穷追星人丑颜控,36,156,你随便调，结婚算我输 :感觉有人提议生孩子高考加分的日子不远了……, 荣耀8X, f
人类灵魂的工程师-,1631,241,生孩子送房子吗？, iPhone客户端, f
人間不值得_時野,36,900,:感觉有人提议生孩子高考加分的日子不远了……, 前后2000万 OPPO R11, f
人間泡泡機,222,224,要不我在胚胎里的时候您就给我定下来？？？？, OPPO智能手机, f
人间何事惹淹留_,12,36,:快算了吧  17岁算早恋  18就可以结婚 闹呢, Share微博客户端, m
人间值得X957,125,157,敢问这些专门是动脑思考之后做的绝对吗，光知道改年龄，不会出台实际解决问题的政策，不想想为什么结婚降低了，主要问题是年龄吗？自持高学历，坐着高职位，享受高待遇，却从来不办实事不解决实际问题，整天搞些花里胡哨的没用东西，不明白你们当着官有什么用, HUAWEI Mate 10, m
人间值得X957,125,157,高中就可以结婚了呗，以后的大学里成双成对的夫妻，大学毕业之后民政局里分财产。降低到18岁，18岁依然还是个孩子怎么担负起家庭的责任，你这是在提高离婚率，有多少是能从18岁走到白头偕老的，再说了感情是凭法定结婚年龄就能左右的？18岁可以结婚你这是在提倡可以早恋了吗, HUAWEI Mate 10, m
人间有味是清欢欢乐极兮哀情多,47,154, :18岁，人本身都还是孩子，怎么承担起一个家庭的责任？, Weibo.intl, f
人间柠檬精,199,1016,让俩小孩刚成年就结婚？？, iPhone客户端, m
人间水蜜橘,64,496,辣鸡, iPhone 6, f
亿百九十八,149,428,:感觉有人提议生孩子高考加分的日子不远了……, Share微博客户端, m
什么gy,86,331,学学我们的台湾省, 小米手机, f
什么时候是条锦鲤,211,526,又不是降低了我们就马上结婚, HUAWEI P20, f
什么时候起名字其实是一句话,37,432,干脆下调到男生第一次梦遗，女生第一次来例假好了, iPhone客户端, m
什么昵称都被用了让我显得很无语,101,343,None, 红米Note7 4800万相机, m
什马小呆,265,1363,:感觉有人提议生孩子高考加分的日子不远了……, iPhone客户端, f
仅仅偏爱你,95,498,请专家们的后代18岁结婚就可以了，谁说的谁承担，谢谢！, , f
仅此尔佁,43,158,None, 小米9 SE, f
今夜杀猪,97,418,今年12岁的小陈听说18岁就能结婚，内心还有点小激动，但她不知道，她可能38岁都还是单身。 , iPhone客户端, m
今天zjj好好赚钱了吗,127,972,None, iPhone客户端, f
今天三好投胎了吗,545,89,委员滚蛋, iPhone客户端, f
今天也喜欢甜甜的撕家,145,550,委员用脚趾头想出来的提案吗, HUAWEI P30, f
今天也很酸的牙,84,67,None, 仙女届扛把子, f
今天也想买裙子呀,87,162,我觉得可能不太行吧~学业繁忙哈哈哈哈~, 华为手机 畅享玩不停, f
今天也想吃冒菜_,21,171,请这位委员自己多生几个好吗, HUAWEI P30, f
-今天也想吃小龍蝦,5,197,别了吧, iPhone客户端, f
今天也想替掌门师兄梳头,92,392,有病吧，以后不结婚的是不是都直接说不符合郭嘉规定啊:爱咋咋地，就这个房价这个物价，改成5岁也没啥用，很多人还是不想结婚的。, 墙头超多的Android, f
今天也敲可爱-3-,1641,1082,None, 小米6X 拍人更美, f
今天也早睡了吗丶,214,550,不让早恋 高中毕业又让结婚 , 宇宙级小可爱, f
今天也是喜欢尤长靖的女孩,76,353,None, 荣耀手机 勇敢做自己, f
今天也是精神抖擞的一天呢,1297,170,请上调一下某些委员的智商, 小米9, m
今天也有好运鸭,51,618,18岁？？？, 小米9, m
今天也没有下雨呢,275,146,???脑子里装的都是水吗？, HUAWEI nova 2, f
今天也没睡醒的荡荡,152,766, :法律应该给为非婚生育扫平障碍，结婚不一定要生育，婚姻也不应该是生育的必要条件。, Weibo.intl, f
今天也要养小兔,135,441, :感觉有人提议生孩子高考加分的日子不远了, , f
今天也要努力囤钱吖,56,101,疯球了吧, Chobe's Android, f
今天也要爱学习阿,43,266,孩子和孩子是没法组建家庭的 婚姻不是过家家, OPPO超视野全面屏R15, f
今天也非常感谢小栗旬,289,381,:感觉有人提议生孩子高考加分的日子不远了……, 小米MIX 2 全面屏手机, f
今天今天今天暴富暴富暴富,73,678,呵呵, 荣耀9 美得有声有色, m
今天你和利酱谈恋爱了吗,181,774,趁着年少不懂事就骗小姑娘小伙子结婚 等到年纪了 就不想结婚了 趁着小赶紧骗, iPhone客户端, f
今天你撸鹅了吗TuT,146,163,18岁之前 不能早恋，18岁之后 马上结婚  有点意思, , f
今天依旧不能喝奶茶,118,226,呵呵, vivo智能手机, f
今天依然是美少女啊,1112,512,离生孩子高考加分不远了嘿嘿嘿, , f
今天做梦rua到masa的头毛了吗,15,142,None, 红米Redmi, f
今天又是元气满满的一天鸭,173,346,迷惑行为大赏 :感觉有人提议生孩子高考加分的日子不远了, iPhone客户端, f
今天又被叫阿姨了吗,131,383,转：生育率低是养孩子和教育成本增高导致的 和结婚年龄有个屁的关系 我真想问问专家你家孩子18结婚你觉得行吗？你儿子大学毕业你孙子都上幼儿园了 你儿子工作了你孙子都上小学了 可是你儿子的学区房还没到位呢  咋  高考生孩子还可以加分吗, Weibo.intl, f
今天发核心了吗,324,705,:感觉有人提议生孩子高考加分的日子不远了……, 热心吃瓜群众, f
今天吸糖抖森和camo了没有,103,268,说话要过脑子哦, iPhone客户端, f
今天和IELTS分手了吗,98,439,结你🐴 ？高中毕业结婚？, vivo X27, f
今天喝不喝可乐,117,1423,那我可能得从18就开始羡慕了呵呵, Weibo.intl, f
今天多喝水了吗XXXX,126,115,:生育率低是养孩子和教育成本增高导致的 和结婚年龄有个屁的关系 我真想问问专家你家孩子18结婚你觉得行吗？你儿子大学毕业你孙子都上幼儿园了 你儿子工作了你孙子都上小学了 可是你儿子的学区房还没到位呢, OPPO随光而变R17, f
今天嫁给蒋丞了吗,29,111,想一出是一出？, 微博极速版, f
今天小彭摔跤了吗,163,379,脑子指定是有点问题的, OnePlus 5T, f
今天小皮长长耳朵了吗,144,181,我们17岁谈恋爱专家说我们早恋，然而18岁就可以结婚了⁉️:感觉有人提议生孩子高考加分的日子不远了……, iPhone客户端, f
今天小蓝也要早睡,423,100,十八岁，没工作没学历怎么承担一个家庭的责任？砖家真的逗我呢，这是当生育机器了？怎么不想一下造成结婚率低的背后原因是什么，净弄些治标不治本的东西。失望。, OPPO R15 梦镜版, f
今天就是那一天,24779,1066,出生人口下降是你妈的法定结婚年龄造成的吗？高中给生个双胞胎保送985不？魔幻现实主义。国家心想多亏性教育落后，趁人孩子啥也不懂赶紧拉人口数量。让孩子生孩子，你们这些大人可真nb, iPhone 7 Plus, f
今天带笔了吗,35,33,比起这个我还是更喜欢延迟退休年龄, OPPO R9, f
今天彭小苒也没有营业,134,546,建议委员这边s一s呢, HUAWEI P20, f
今天我可以开心吗,125,536,..., 今天要早睡Android, f
今天我很酷w,121,282,:先把刑事责任年龄降低吧, iPhone X, f
今天我的微博可以改名了吗,74,107,咋想的？, iPhone客户端, f
今天我能改微博名了吗,83,58,6, Android, f
今天我要睡得早,192,505,实行以后提前结婚生孩子高考还能加个分, 前后2000万 OPPO R11, f
_今天捡垃圾养女儿了么_,113,157,看到底下一群骂的我就放心了, 荣耀V9 我想要的快, f
今天是不想去动物园的大狮子,56,37,大家十八岁还是孩子呢，我不认为有经济能力能够支持婚姻，经济基础决定上层建筑。基本上现在上大学都得父母供着，你还得你父母帮你养老婆或者养你老公？, HUAWEI P20 Pro, m
今天是开心的小笼包,42,180,我不接受你的建议, HUAWEI nova 2 Plus, f
今天暴富了吗,6446,523,……？, iPhone客户端, m
今天有没有喝奶茶,108,72,啊？？那未满18岁一天只有两小时打游戏能不能改了？？还有一些游戏未满18岁不让注册登录能不能也给改了？？, OPPO R9, f
今天有没有更可爱一点呢,169,707,哈哈哈哈哈18岁结婚我20岁还觉得是小朋友幼儿园刚出来的憨憨, iPhone 8, f
今天有雪有太阳,174,81,以后我的业务专攻婚姻家事, 荣耀8 美得与众不同, m
今天的小马也要努力吖,153,59,18也太小了吧～, HUAWEI nova 3, m
今天的我也很可爱吖,155,475,神经病啊, iPhone客户端, f
-今天的月亮真好看,81,114,18岁都还不成熟，离婚率也会很高吧, iPhone客户端, f
今天的狗夏吃鸡了吗,295,87,之前的晚婚晚育哪去了？东富说的没错，论文写多了也能成为专家, HUAWEI nova 3, f
今天的芝芝桃桃超好喝,125,736,笑死   电视剧里连早恋都不让提居然还要18岁结婚   我真的笑晕叻, Weibo.intl, f
今天给磊磊投票了吗,530,222,你可别了行吗，看看我们这些单身主义的吧，您能往后调调吗？？？？？往前干嘛啊, 赵磊的团子, f
今天起改名叫阿暖,357,431,大概有病叭, 求白居同框Android, f
今天还是在熬夜,71,138,？？？？？疯了, , f
今天还是杰大家的崽,57,201,别上调年龄段了，不如上调委员智商吧, vivo AI智慧拍照X21i, m
今天还是没有脱单,147,484,人家要是结得起，还没到年龄不去登记也会去结，关键是很多人都结不起啊！想提高生育率先降降房价，物价，提提工资，看看生育率能不能高点！另外评论区有些人还真把自己当根葱了?, 华为手机 畅享玩不停, m
今天金鐘仁和金划水分手了嗎,86,216,你搞清楚，你想要的是优婚优育，还是早婚早育。, OPPO智能手机, f
今天鬼哥来深圳了吗,105,457,？18岁？？？男女都18岁？所以现在才我们也是烦了结婚的时候了吗, 鬼哥心里的宇宙级小可爱, m
今天鬼哥来深圳了吗,105,457,姐妹说得好:先把刑事责任年龄降低吧, 鬼哥心里的宇宙级小可爱, m
今年一定要瘦到两位数,243,492,为了人口红利真是什么瞎话都提的出来, HUAWEI P20 Pro, f
今年也要努力生活呢,242,66,十八岁还不结婚，二十岁后不生娃的按月交罚款:男女16岁结婚，结婚生小孩了免费保送父母上大学, iPhone客户端, f
今年十八再问自杀-,303,962,:感觉有人提议生孩子高考加分的日子不远了……, HUAWEI nova 3i, f
今年要蘸可乐吃蛋烘糕,264,1683,行叭:感觉有人提议生孩子高考加分的日子不远了……, iPhone客户端, f
今年黄叽会脱非入欧吗,140,721,18不是才刚大一吗？？？, 荣耀10 AI变色更潮美, f
今日减肥未丫,1632,245,按这么说来，上大学就谈恋爱毕了业就结婚结完婚就生孩子呗……然后丢给父母啃老？:18？你怎么不提议16？本来俩人就是俩孩子，不成熟的决定结婚后再让他们自己买单？, 一个小透明iPhone客户端, f
今日唔吹水,307,138,几个什么委员农村来的？, iPhone客户端, f
今日多云有雪,31,73, 快看 你和刘昊然结婚就合法了, OoooooiPhone, f
今晚就要喝二十瓶可乐,97,100,走, iPhone客户端, m
今朝尤酒,86,269,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈卧槽哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈 你要是后面赌怕就输了, Weibo.intl, f
介介歪小小问号,112,91,:先把刑事责任年龄降低吧, vivo智能手机, f
从一个少数派中逃离,191,506,只管生不管养, 荣耀8 美得与众不同, f
从不霆止为你疯狂,92,137,干脆回到古代的思维方式，13岁结婚，到了而立之年就可以儿孙满堂了, 荣耀Note10 大屏旗舰, f
从今天起我叫音乐,238,1093,:先把刑事责任年龄降低吧, HUAWEI nova 2 Plus, f
从今往后的barry,227,447,考虑下未婚大龄青年的感受好吗, iPhone客户端, m
从容-袁菀,153,388,None, HUAWEI nova 3e, f
从清晨到日暮____,135,316,18岁还在念书呢，确实可能造成部分家庭让孩子满了年龄就去结婚的现状，毕竟全国大学生比例也只占百分之几。偏远贫穷国家的，女孩子还在上小学就得被拉去结婚，念不了书了！, iPhone客户端, f
-从过去到现在-,38,263,None, iPhone客户端, f
仓鼠不能吃啊,103,98,None, 直达服务, f
仓鼠呸,188,255,扯你妈呢？？？18结20再离了？？？, , f
他们叫我小猪崽子,195,286,   咱也不知道。咱也不敢问。  绝了都。不敢投票发表意见。, HUAWEI P10, f
他坏掉了,6,90,18岁知道屁哦 正是玩的年纪阿 连学都没念出来 怎么去承担起一个家庭的责任, nova4自拍极点全面屏, f
他的歌太难鸦,90,154,晚婚晚育主要考虑孩子的质量，早婚早育只想到孩子数量。, 前置双摄vivo X9s, m
他终究活成了你的模样,162,341,这谁是脑袋有坑是吧，什么玩意啊这是，生孩子警告，这社会真是越活越回去了，简直就是要朝着封建社会退了, vivo X23全息幻彩, f
他能看见风,511,303,有病吧，不调晚还调早，你想回到大清吗？, , f
付与烟尘,90,876,None, iPhone客户端, f
付我前行,42,81,果然是屁股想出来的政策，18岁有结婚能力么。默默把身后的00后交了出去。, Android, m
付浩今天背单词了吗,1265,56,老师：高中不准谈恋爱！  学生：不谈不谈，直接去领证, 荣耀Play 让快更快, m
仙Road,58,355,那不是更容易做出不成熟的选择, Redmi K20 Pro 真旗舰, f
仙儿的流水账,10428,199,18就让结婚? 再发展就得生孩子高考加分了吧? 这也太特么能扯淡了吧？, 坚果手机 R1, f
_仙女下凡_,455,216,调了有啥用，不让早恋哪来的对象, 红米Redmi, f
仙女再吃一碗,46,72,评论区实在不能看.... , HUAWEI nova 3e, f
仙女山的小月亮_,162,264,疯了吧？咋的高考加分结婚有优惠？？, vivo X20全面屏手机, f
仙女的鹿憨憨憨憨,127,68,雨女无瓜, 前置双摄vivo X9sPlus, f
仙女酸绝不长胖,32,113,:先把刑事责任年龄降低吧, iPhone客户端, f
仙露气泡,199,286,现在22都大把大把不负责任的父母，18那不得了了，看看西南农村有多少留守儿童没有妈妈:18岁，人本身都还是孩子，怎么承担起一个家庭的责任？不能因为结婚率低生育率低就下调结婚年龄吧？真的搞不懂, Android, f
仙鹤奶粉,47,199,None, iPhone客户端, f
代位行使撤销权,107,109, 那我们这一辈不是马上就要被别人叫爷爷了？？？, iPhone客户端, m
